Membership No  Date Joined  Active  
    40985      2016-10-24   no    
    79967      2018-1-8     no    
    46328      2016-6-5     no    
    64985      2017-8-3     no    
    54342      2015-7-24    no    
    53335      2015-2-12    no    
    42193      2015-7-17    no    
    55788      2019-7-8     no    
    50221      2020-11-17   no    
    12411      2017-7-22    no    
    93699      2017-3-8     no    
    55813      2015-8-2     no    
    56524      2016-6-4     no    
    14141      2017-2-10    no    
    74071      2016-1-25    no    
    87065      2020-7-20    no    
