Membership No  Date Joined  Active  
    40449      2015-6-5     no    
    43278      2020-11-8    no    
    28858      2018-7-23    no    
    44700      2015-5-9     no    
    50471      2018-12-21   no    
    82514      2017-11-7    no    
    19722      2018-2-18    no    
    70848      2020-4-6     no    
    59630      2017-8-21    no    
    42929      2018-3-10    no    
    31122      2015-5-24    no    
    54668      2016-7-15    no    
    63699      2020-8-6     no    
    76559      2017-11-21   no    
    46345      2017-4-10    no    
